brand,product_name,shade,shade_code,undertone,skin_type,finish,price,rating,description
MAC,Studio Fix Fluid SPF 15,NC15,NC15,Neutral,Normal,Natural,2800,4.7,Lightweight foundation with medium coverage
MAC,Studio Fix Fluid SPF 15,NC20,NC20,Neutral,Normal,Natural,2800,4.7,Lightweight foundation with medium coverage
MAC,Studio Fix Fluid SPF 15,NC25,NC25,Neutral,Normal,Natural,2800,4.7,Lightweight foundation with medium coverage
MAC,Studio Fix Fluid SPF 15,NC30,NC30,Neutral,Normal,Natural,2800,4.7,Lightweight foundation with medium coverage
MAC,Studio Fix Fluid SPF 15,NC35,NC35,Neutral,Oily,Natural,2800,4.7,Lightweight foundation with medium coverage
MAC,Studio Fix Fluid SPF 15,NC40,NC40,Neutral,Oily,Natural,2800,4.7,Lightweight foundation with medium coverage
MAC,Studio Fix Fluid SPF 15,NC42,NC42,Neutral,Oily,Natural,2800,4.7,Lightweight foundation with medium coverage
MAC,Studio Fix Fluid SPF 15,NC45,NC45,Neutral,Oily,Natural,2800,4.7,Lightweight foundation with medium coverage
MAC,Studio Fix Fluid SPF 15,NW15,NW15,Warm,Normal,Natural,2800,4.7,Lightweight foundation with medium coverage
MAC,Studio Fix Fluid SPF 15,NW20,NW20,Warm,Normal,Natural,2800,4.7,Lightweight foundation with medium coverage
MAC,Studio Fix Fluid SPF 15,NW25,NW25,Warm,Normal,Natural,2800,4.7,Lightweight foundation with medium coverage
MAC,Studio Fix Fluid SPF 15,NW30,NW30,Warm,Normal,Natural,2800,4.7,Lightweight foundation with medium coverage
MAC,Studio Fix Fluid SPF 15,NW35,NW35,Warm,Oily,Natural,2800,4.7,Lightweight foundation with medium coverage
MAC,Studio Fix Fluid SPF 15,NW40,NW40,Warm,Oily,Natural,2800,4.7,Lightweight foundation with medium coverage
MAC,Studio Fix Fluid SPF 15,NW43,NW43,Warm,Oily,Natural,2800,4.7,Lightweight foundation with medium coverage
MAC,Face and Body Foundation,C1,C1,Cool,All,Radiant,2500,4.6,Water-based buildable foundation
MAC,Face and Body Foundation,C2,C2,Cool,All,Radiant,2500,4.6,Water-based buildable foundation
MAC,Face and Body Foundation,C3,C3,Cool,All,Radiant,2500,4.6,Water-based buildable foundation
MAC,Face and Body Foundation,N1,N1,Neutral,All,Radiant,2500,4.6,Water-based buildable foundation
MAC,Face and Body Foundation,N2,N2,Neutral,All,Radiant,2500,4.6,Water-based buildable foundation
MAC,Face and Body Foundation,W2,W2,Warm,All,Radiant,2500,4.6,Water-based buildable foundation
MAC,Face and Body Foundation,W3,W3,Warm,All,Radiant,2500,4.6,Water-based buildable foundation
Maybelline,Fit Me Matte + Poreless,102 Fair Ivory,102,Warm,Oily,Matte,399,4.5,Oil-free foundation for oily skin
Maybelline,Fit Me Matte + Poreless,115 Ivory,115,Neutral,Oily,Matte,399,4.5,Oil-free foundation for oily skin
Maybelline,Fit Me Matte + Poreless,120 Classic Ivory,120,Warm,Oily,Matte,399,4.5,Oil-free foundation for oily skin
Maybelline,Fit Me Matte + Poreless,125 Nude Beige,125,Warm,Oily,Matte,399,4.5,Oil-free foundation for oily skin
Maybelline,Fit Me Matte + Poreless,128 Warm Nude,128,Warm,Oily,Matte,399,4.5,Oil-free foundation for oily skin
Maybelline,Fit Me Matte + Poreless,130 Buff Beige,130,Neutral,Oily,Matte,399,4.5,Oil-free foundation for oily skin
Maybelline,Fit Me Matte + Poreless,220 Natural Beige,220,Warm,Oily,Matte,399,4.5,Oil-free foundation for oily skin
Maybelline,Fit Me Matte + Poreless,230 Natural Buff,230,Warm,Oily,Matte,399,4.5,Oil-free foundation for oily skin
Maybelline,Fit Me Matte + Poreless,235 Pure Beige,235,Warm,Oily,Matte,399,4.5,Oil-free foundation for oily skin
Maybelline,Fit Me Matte + Poreless,310 Sun Beige,310,Warm,Oily,Matte,399,4.5,Oil-free foundation for oily skin
Maybelline,Fit Me Matte + Poreless,330 Toffee,330,Warm,Oily,Matte,399,4.5,Oil-free foundation for oily skin
Maybelline,Fit Me Dewy + Smooth,115 Ivory,115,Neutral,Dry,Dewy,399,4.4,Hydrating foundation for dry skin
Maybelline,Fit Me Dewy + Smooth,120 Classic Ivory,120,Warm,Dry,Dewy,399,4.4,Hydrating foundation for dry skin
Maybelline,Fit Me Dewy + Smooth,125 Nude Beige,125,Warm,Dry,Dewy,399,4.4,Hydrating foundation for dry skin
Maybelline,Fit Me Dewy + Smooth,128 Warm Nude,128,Warm,Dry,Dewy,399,4.4,Hydrating foundation for dry skin
Maybelline,Fit Me Dewy + Smooth,220 Natural Beige,220,Warm,Dry,Dewy,399,4.4,Hydrating foundation for dry skin
Maybelline,Fit Me Dewy + Smooth,230 Natural Buff,230,Warm,Dry,Dewy,399,4.4,Hydrating foundation for dry skin
L'Oréal Paris,Infallible 24H Fresh Wear,10 Porcelain,10,Cool,All,Matte,999,4.6,Long-wear breathable foundation
L'Oréal Paris,Infallible 24H Fresh Wear,20 Ivory,20,Neutral,All,Matte,999,4.6,Long-wear breathable foundation
L'Oréal Paris,Infallible 24H Fresh Wear,30 Sand,30,Warm,All,Matte,999,4.6,Long-wear breathable foundation
L'Oréal Paris,Infallible 24H Fresh Wear,100 Linen,100,Cool,All,Matte,999,4.6,Long-wear breathable foundation
L'Oréal Paris,Infallible 24H Fresh Wear,110 Rose Vanilla,110,Cool,All,Matte,999,4.6,Long-wear breathable foundation
L'Oréal Paris,Infallible 24H Fresh Wear,120 Vanilla,120,Neutral,All,Matte,999,4.6,Long-wear breathable foundation
L'Oréal Paris,Infallible 24H Fresh Wear,130 True Beige,130,Warm,All,Matte,999,4.6,Long-wear breathable foundation
L'Oréal Paris,Infallible 24H Fresh Wear,140 Golden Beige,140,Warm,All,Matte,999,4.6,Long-wear breathable foundation
L'Oréal Paris,Infallible 24H Fresh Wear,150 Radiant Beige,150,Warm,All,Matte,999,4.6,Long-wear breathable foundation
L'Oréal Paris,Infallible 24H Fresh Wear,200 Golden Sand,200,Warm,All,Matte,999,4.6,Long-wear breathable foundation
L'Oréal Paris,Infallible 24H Fresh Wear,220 Sand,220,Warm,All,Matte,999,4.6,Long-wear breathable foundation
L'Oréal Paris,Infallible 24H Fresh Wear,230 Radiant Honey,230,Warm,All,Matte,999,4.6,Long-wear breathable foundation
L'Oréal Paris,Infallible 24H Fresh Wear,300 Amber,300,Warm,All,Matte,999,4.6,Long-wear breathable foundation
L'Oréal Paris,Infallible 24H Fresh Wear,310 Cappuccino,310,Warm,All,Matte,999,4.6,Long-wear breathable foundation
Nykaa,Skin Shield Foundation,Fair Ivory,F01,Cool,Normal,Natural,599,4.3,SPF 30 foundation with skin benefits
Nykaa,Skin Shield Foundation,Porcelain,F02,Cool,Normal,Natural,599,4.3,SPF 30 foundation with skin benefits
